Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Manchester United,38,23,11,4,78,37,41,80,2010/2011
2,Chelsea,38,21,8,9,69,33,36,71,2010/2011
3,Manchester City,38,21,8,9,60,33,27,71,2010/2011
4,Arsenal,38,19,11,8,72,43,29,68,2010/2011
5,Tottenham Hotspur,38,16,14,8,55,46,9,62,2010/2011
6,Liverpool,38,17,7,14,59,44,15,58,2010/2011
7,Everton,38,13,15,10,51,45,6,54,2010/2011
8,Fulham,38,11,16,11,49,43,6,49,2010/2011
9,Aston Villa,38,12,12,14,48,59,-11,48,2010/2011
10,Sunderland,38,12,11,15,45,56,-11,47,2010/2011
11,West Bromwich Albion,38,12,11,15,56,71,-15,47,2010/2011
12,Newcastle United,38,11,13,14,56,57,-1,46,2010/2011
13,Stoke City,38,13,7,18,46,48,-2,46,2010/2011
14,Bolton Wanderers,38,12,10,16,52,56,-4,46,2010/2011
15,Blackburn Rovers,38,11,10,17,46,59,-13,43,2010/2011
16,Wigan Athletic,38,9,15,14,40,61,-21,42,2010/2011
17,Wolverhampton Wanderers,38,11,7,20,46,66,-20,40,2010/2011
18,Birmingham City,38,8,15,15,37,58,-21,39,2010/2011
19,Blackpool,38,10,9,19,55,78,-23,39,2010/2011
20,West Ham United,38,7,12,19,43,70,-27,33,2010/2011
