Position,Club,Played,Won,Drawn,Lost,GF,GA,GD,Points,season
1,Blackburn Rovers,42,27,8,7,80,39,41,89,1994/1995
2,Manchester United,42,26,10,6,77,28,49,88,1994/1995
3,Nottingham Forest,42,22,11,9,72,43,29,77,1994/1995
4,Liverpool,42,21,11,10,65,37,28,74,1994/1995
5,Leeds United,42,20,13,9,59,38,21,73,1994/1995
6,Newcastle United,42,20,12,10,67,47,20,72,1994/1995
7,Tottenham Hotspur,42,16,14,12,66,58,8,62,1994/1995
8,Queens Park Rangers,42,17,9,16,61,59,2,60,1994/1995
9,Wimbledon,42,15,11,16,48,65,-17,56,1994/1995
10,Southampton,42,12,18,12,61,63,-2,54,1994/1995
11,Chelsea,42,13,15,14,50,55,-5,54,1994/1995
12,Arsenal,42,13,12,17,52,49,3,51,1994/1995
13,Sheffield Wednesday,42,13,12,17,49,57,-8,51,1994/1995
14,West Ham United,42,13,11,18,44,48,-4,50,1994/1995
15,Everton,42,11,17,14,44,51,-7,50,1994/1995
16,Coventry City,42,12,14,16,44,62,-18,50,1994/1995
17,Manchester City,42,12,13,17,53,64,-11,49,1994/1995
18,Aston Villa,42,11,15,16,51,56,-5,48,1994/1995
19,Crystal Palace,42,11,12,19,34,49,-15,45,1994/1995
20,Norwich City,42,10,13,19,37,54,-17,43,1994/1995
21,Leicester City,42,6,11,25,45,80,-35,29,1994/1995
22,Ipswich Town,42,7,6,29,36,93,-57,27,1994/1995
